number,address,lat,lon,mon,tue,wed,thu,fri,sat,sun
155,"TVARDITA, IURII GAGARIN, 23",46.152969,28.962693,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
156,"CEADIR-LUNGA, STR. IUBILEINAIA, 1A",46.058803,28.822423,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
157,"CAUSENI, STR. UNIRII, 1A",46.655613,29.40821,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
158,"BALTI, STR. BULGARA, 120A",47.78622,27.899494,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
159,"CHISINAU, STR. INDEPENDENTEI, 3/1",46.983714,28.848471,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
160,"CHISINAU, STR. MARIA DRAGAN, 11A",47.022551,28.88357,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–22:00
161,"TRUSENI, STR. 27 AUGUST 1989, 2/2",47.07205,28.699202,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
162,"VORNICENI, STR. STEFAN CEL MARE",47.153263,28.427824,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
163,"HINCESTI, STR. CHISINAULUI, 3",46.830806,28.58906,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
164,"CAHUL, STR. MIHAI VITEAZUL, 47B",45.894361,28.205946,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
165,"CARPINENI, INDEPENDENTEI, 4/E",46.76342,28.347555,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
166,"CHISINAU, SOS. HINCESTI, 62A",47.002027,28.814531,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
167,"LIPCANI, STR. IURII GAGARIN, 2",48.263894,26.805448,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
168,"CAHUL, STEFAN CEL MARE SI SFINT, 29A",45.916246,28.215716,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
169,"SOROCA, STEFAN CEL MARE 46",48.16396,28.303467,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
170,"CAHUL, STEFAN CEL MARE, 111B",45.916246,28.215716,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
171,"BALTI, STR. STRII (COLT KIEV)",47.770826,27.930637,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
172,"CHISINAU, MIRCEA CEL BATRIN 39",47.04,28.891163,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
173,"CHISINAU, STR. MATEI BASARAB, 6",47.05491,28.868602,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,09:00–22:00
174,"CHISINAU, STR. SARMIZEGETUSA, 10",46.986753,28.873758,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
175,PÎRLITA,47.325053,27.89235,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
176,"CHETROSU, STR. CHISINAU 95, 002",46.920054,29.030823,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
177,"BALTI, STR. VASILIE LUPU, 1",47.753677,27.937632,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
178,"ANENII NOI, STR. CHISINAULUI, 45",46.882517,29.224925,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
179,"FALESTI, STR. MOLDOVA, 41",47.573562,27.708399,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
180,"BALTI, STR. SREFAN CEL MARE, 115",47.740818,27.876177,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
181,"CUPCINI, STR. CHISINAULUI, 25A",48.118364,27.383352,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
182,"CHISINAU, SOS. MUNCESTI, 631/1",46.948233,28.932468,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
183,"CHISINAU, STR. BUCOVINEI, 6",47.068274,28.880368,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
184,"BRICENI, STR. OLIMPICILOR, 13",48.359493,27.089151,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
185,"CORJEUTI, STR. STEFAN CEL MARE 37",48.213305,27.042548,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
186,"CHISINAU, STR. ARBORILOR, 21",47.004442,28.840673,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00,10:00–22:00
187,"GIURGIULESTI, STR. PRIETENIEI, 8, OF 101",45.475986,28.207001,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
188,"OCNITA, STR. INDEPENDENTEI, 58/A",46.985429,28.844508,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
189,"EDINET, STR. INDEPENDENTEI, 45",48.172759,27.30354,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
190,"ORHEI, STR. SERGHEI LAZO",47.397685,28.81486,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
191,"EDINET, STR. SOSEAUA BUCOVINA, 94",48.165347,27.315473,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
192,"TELENESTI, STR. DACIA",47.509178,28.367601,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
193,"DROCHIA, STR. MITROPOLIT VARLAAM, 7/1",48.035454,27.806368,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
194,"BALTI, STR. STEFAN CEL MARE, 187",47.740818,27.876177,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
195,"PERESECINA, STR. MIHAI EMINESCU 187",47.265087,28.767479,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
196,"CODRU, STR. COSTIUJENI, 8/5A",46.977544,28.836479,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
197,"COSNITA, ST. PACII 62",47.121264,28.866985,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
198,"NISPORENI, STR. CHISINAULUI 2/E",47.080914,28.183114,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00,08:00–23:00
199,"COM. SCULENI, SAT SCULENI, VAMA SCULENI",47.216735,29.163333,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00,08:00–22:00
